Tanggal,Vaksinasi 2
5 March 2021,91078
6 March 2021,91379
7 March 2021,93974
8 March 2021,96978
9 March 2021,119854
10 March 2021,109554
11 March 2021,109699
12 March 2021,113038
13 March 2021,114464
14 March 2021,114621
15 March 2021,124070
16 March 2021,139204
17 March 2021,159736
18 March 2021,184432
19 March 2021,199342
20 March 2021,203266
21 March 2021,204295
22 March 2021,228255
23 March 2021,258405
24 March 2021,294083
25 March 2021,311135
26 March 2021,343272
27 March 2021,351121
28 March 2021,353105
29 March 2021,388065
30 March 2021,425325
31 March 2021,458982
1 April 2021,485734
2 April 2021,490215
3 April 2021,494227
4 April 2021,498076
5 April 2021,546103
6 April 2021,580965
7 April 2021,619311
8 April 2021,644297
9 April 2021,677132
10 April 2021,687612
11 April 2021,697480
12 April 2021,728994
13 April 2021,749172
14 April 2021,783181
15 April 2021,813687
16 April 2021,840544
17 April 2021,849048
18 April 2021,857137
19 April 2021,894069
20 April 2021,911103
21 April 2021,943905
22 April 2021,995717
23 April 2021,1028239
24 April 2021,1046274
25 April 2021,1059589
26 April 2021,1104607
27 April 2021,1242486
28 April 2021,1182862
29 April 2021,1214492
30 April 2021,1231269
1 May 2021,1245192
2 May 2021,1256966
3 May 2021,1287033
4 May 2021,1313679
5 May 2021,1339261
6 May 2021,1366690
7 May 2021,1395186
8 May 2021,1405753
9 May 2021,1415570
10 May 2021,1445880
11 May 2021,1461820
12 May 2021,1469582
13 May 2021,1469783
14 May 2021,1470037
15 May 2021,1477896
16 May 2021,1483715
17 May 2021,1510084
18 May 2021,1540685
19 May 2021,1566783
20 May 2021,1599233
21 May 2021,1627315
22 May 2021,1644686
23 May 2021,1656848
24 May 2021,1663767
25 May 2021,1704615
26 May 2021,1732164
27 May 2021,1770292
28 May 2021,1773251
29 May 2021,1773251
30 May 2021,1775331
31 May 2021,1797154
1 June 2021,1804342
2 June 2021,1829911
3 June 2021,1834501
4 June 2021,1841626
5 June 2021,1841757
6 June 2021,1841775
7 June 2021,1845698
8 June 2021,1845698
9 June 2021,1845698
10 June 2021,1858410
11 June 2021,1861571
12 June 2021,1861918
13 June 2021,1861955
14 June 2021,1867142
15 June 2021,1871327
16 June 2021,1875171
17 June 2021,1875171
18 June 2021,1880997
19 June 2021,1886323
20 June 2021,1886757
21 June 2021,1887255
22 June 2021,1891658
23 June 2021,1894808
24 June 2021,1898567
25 June 2021,1902333
26 June 2021,1907281
27 June 2021,1911230
28 June 2021,1912914
29 June 2021,1917662
30 June 2021,1920245
1 July 2021,1924850
2 July 2021,1929114
3 July 2021,1931805
4 July 2021,1935269
5 July 2021,1935857
6 July 2021,1938103
7 July 2021,1943092
8 July 2021,1945121
9 July 2021,1950495
10 July 2021,1951043
11 July 2021,1951485
12 July 2021,1951695
13 July 2021,1952866
14 July 2021,1965880
15 July 2021,1970308
16 July 2021,1976896
17 July 2021,1987840
18 July 2021,1996217
19 July 2021,2002013
20 July 2021,2021486
21 July 2021,2021780
22 July 2021,2067633
23 July 2021,2124049
24 July 2021,2191407
25 July 2021,2221866
26 July 2021,2238876
27 July 2021,2321531
28 July 2021,2410672
29 July 2021,2426508
30 July 2021,2543030
31 July 2021,2667299
1 August 2021,2716121
2 August 2021,2744716
3 August 2021,2865036
4 August 2021,2984244
5 August 2021,3083135
6 August 2021,3110381
7 August 2021,3184396
8 August 2021,3415964
9 August 2021,3532646
10 August 2021,3671205
11 August 2021,3784353
12 August 2021,3820779
13 August 2021,4007949
14 August 2021,4181318
15 August 2021,4260251
16 August 2021,4310395
17 August 2021,4434796
18 August 2021,4449098
19 August 2021,4561615
20 August 2021,4679444
21 August 2021,4762907
22 August 2021,4845271
23 August 2021,4879571
24 August 2021,4978587
25 August 2021,5088010
26 August 2021,5197381
27 August 2021,5317949
28 August 2021,5490891
29 August 2021,5507262
30 August 2021,5507703
31 August 2021,5664704
1 September 2021,5782838
2 September 2021,5894734
3 September 2021,6028830
4 September 2021,6166648
5 September 2021,6204068
6 September 2021,6225547
7 September 2021,6352981
8 September 2021,6478196
9 September 2021,6591953
10 September 2021,6721632
11 September 2021,6871342
12 September 2021,6891321
13 September 2021,6911009
14 September 2021,7023287
15 September 2021,7115084
16 September 2021,7219461
17 September 2021,7254210
18 September 2021,7356944
19 September 2021,7407335
20 September 2021,7422545
21 September 2021,7425800
22 September 2021,7493319
23 September 2021,7515085
24 September 2021,7577364
25 September 2021,7616782
26 September 2021,7639213
27 September 2021,7655342
28 September 2021,7687969
29 September 2021,7720027
30 September 2021,7744545
1 October 2021,7769487
2 October 2021,7794962
3 October 2021,7802595
4 October 2021,7806951
5 October 2021,7830971
6 October 2021,7848328
7 October 2021,7875033
8 October 2021,7895222
